Comment,Designator,Footprint,LCSC
560,R17,R_MiniMELF_MMA-0204,
560,R18,R_MiniMELF_MMA-0204,
120,R10,R_MiniMELF_MMA-0204,
150u,C5,CP_Radial_D8.0mm_P3.50mm,
SBYV27,D4,D_DO-15_P10.16mm_Horizontal,
Heatsink,HS2,Heatsink,
120,R6,R_MiniMELF_MMA-0204,
100n,C2,C_1206_3216Metric,
150u,C12,CP_Radial_D8.0mm_P3.50mm,
120,R9,R_MiniMELF_MMA-0204,
10K,R14,R_MiniMELF_MMA-0204,
BCM847DS,Q2,SOT-23-6,
V-_Sen+_Jumper,J6,PinHeader_1x02_P2.54mm_Vertical_Jumper,
1k,RV1,Potentiometer_Bourns_3266W_Vertical,
D44H11,Q3,TO-220-3_TO-247_Combined_Vertical,
10K,R4,R_MiniMELF_MMA-0204,
BCM857DS,Q9,SOT-23-6,
150u,C11,CP_Radial_D8.0mm_P3.50mm,
10K,R13,R_MiniMELF_MMA-0204,
SBYV27,D5,D_DO-15_P10.16mm_Horizontal,
10,R2,R_MiniMELF_MMA-0204,
150u,C10,CP_Radial_D8.0mm_P3.50mm,
150u,C9,CP_Radial_D8.0mm_P3.50mm,
4700u,C3,CP_Radial_D18.0mm_P7.50mm,
120,R12,R_MiniMELF_MMA-0204,
150u,C14,CP_Radial_D8.0mm_P3.50mm,
9V1,D17,D_SOD-123,
9V1,D16,D_SOD-123,
10K,R3,R_MiniMELF_MMA-0204,
Out,J3,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",
V+_Sen-_Jumper,J5,PinHeader_1x02_P2.54mm_Vertical_Jumper,
9V1,D15,D_SOD-123,
4148,D12,D_SOD-123,
120,R11,R_MiniMELF_MMA-0204,
MMBT5087,Q5,SOT-23-3,
9V1,D9,D_SOD-123,
BCM847DS,Q10,SOT-23-6,
100p,C16,C_0805_2012Metric,
SBYV27,D3,D_DO-15_P10.16mm_Horizontal,
ADA4522,U2,SOIC-8_3.9x4.9mm_P1.27mm,
1k,RV2,Potentiometer_Bourns_3266W_Vertical,
V-_Sen-_Jumper,J7,PinHeader_1x02_P2.54mm_Vertical_Jumper,
Fuse_Small,F1,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,
Heatsink,HS1,Heatsink,
10,R1,R_MiniMELF_MMA-0204,
10K,R7,R_MiniMELF_MMA-0204,
4148,D13,D_SOD-123,
SBYV27,D1,D_DO-15_P10.16mm_Horizontal,
V+_Sen+_Jumper,J4,PinHeader_1x02_P2.54mm_Vertical_Jumper,
BCM857DS,Q1,SOT-23-6,
SBYV27,D6,D_DO-15_P10.16mm_Horizontal,
SBYV27,D2,D_DO-15_P10.16mm_Horizontal,
4700u,C4,CP_Radial_D18.0mm_P7.50mm,
150u,C6,CP_Radial_D8.0mm_P3.50mm,
SBYV27,D8,D_DO-15_P10.16mm_Horizontal,
560,R15,R_MiniMELF_MMA-0204,
100p,C15,C_0805_2012Metric,
V-_In,J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
9V1,D18,D_SOD-123,
D45H11,Q4,TO-220-3_TO-247_Combined_Vertical,
Fuse_Small,F2,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,
150u,C8,CP_Radial_D8.0mm_P3.50mm,
10K,R8,R_MiniMELF_MMA-0204,
4148,D11,D_SOD-123,
SBYV27,D7,D_DO-15_P10.16mm_Horizontal,
100n,C1,C_1206_3216Metric,
560,R16,R_MiniMELF_MMA-0204,
ADA4522,U1,SOIC-8_3.9x4.9mm_P1.27mm,
150u,C13,CP_Radial_D8.0mm_P3.50mm,
V+_In,J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
120,R5,R_MiniMELF_MMA-0204,
150u,C7,CP_Radial_D8.0mm_P3.50mm,
4148,D14,D_SOD-123,
9V1,D10,D_SOD-123,
MMBT5089,Q6,SOT-23-3,
